"Distance
(ly)",ESI
12.5,0.97
101,0.94
300,0.93
101,0.91
40.5,0.91
105,0.89
216,0.87
4.2,0.86
15.8,0.86
12,0.86
12,0.86
11,0.86
12.3,0.85
544,0.85
31.3,0.85
40.5,0.85
1193,0.84
639,0.83
981,0.83
1799,0.83
821,0.83
143,0.81
528,0.81
138,0.81
14,0.8
1196,0.8
23.6,0.8
218,0.79
1092,0.79
1526,0.79
300,0.77
36.6,0.77
136,0.77
23.6,0.76
4975,0.76
981,0.75
138,0.75
29.6,0.74
1374,0.74
2462,0.74
41.1,0.73
903,0.73
40.5,0.73
237,0.73
401,0.73
957,0.73
634,0.72
11.8,0.72
2073,0.72
99.5,0.72
245,0.72
519,0.72
188,0.72
2616,0.71
30.7,0.71
21.1,0.71
1905,0.71
2382,0.7
216,0.7
124,0.7
2711,0.7
270,0.7
1621,0.7
1166,0.7
38.9,0.7
404,0.69
34.6,0.69
49.3,0.69
798,0.69
2619,0.68
2385,0.68
17.5,0.68
981,0.68
1254,0.68
40.5,0.68
117,0.68
51.6,0.68
12.1,0.67
1092,0.67
1396,0.67
38.9,0.67
2800,0.67
1673,0.66
2295,0.66
42.2,0.66
12.5,0.66
2469,0.66
150,0.66
544,0.66
1270,0.66
48.9,0.66
191,0.66
3088,0.66
356,0.65
58,0.65
1776,0.65
20.4,0.65
1427,0.65
1572,0.65
2508,0.65
214,0.65
32.3,0.65
1093,0.64
1555,0.64
36.8,0.64
991,0.64
3535,0.64
80.7,0.64
63.8,0.63
2440,0.63
65.9,0.63
18.2,0.63
669,0.62
544,0.62
2347,0.62
865,0.62
2380,0.62
1920,0.62
2081,0.62
1436,0.62
41.3,0.62
1690,0.62
269,0.62
6352,0.62
101,0.61
18.5,0.61
579,0.61
89.3,0.61
136,0.61
886,0.6
579,0.6
1649,0.6
3448,0.6
1471,0.6
23.6,0.6
3077,0.6
86.4,0.6
143,0.6
20.5,0.6
1480,0.6
1354,0.6
1096,0.6
314,0.59
1520,0.59
77.1,0.59
864,0.59
174,0.59
218,0.59
19.6,0.59
269,0.59
124,0.59
613,0.58
621,0.58
65.9,0.58
15.8,0.58
894,0.58
2844,0.58
385,0.58
2539,0.58
1485,0.58
1048,0.58
40.5,0.58
30.8,0.58
248,0.58
77.4,0.57
1905,0.57
2416,0.57
1339,0.57
12,0.57
3670,0.57
1550,0.57
16.3,0.57
1325,0.57
86.4,0.57
40.5,0.57
1438,0.56
38.8,0.56
414,0.56
3362,0.56
18.8,0.56
105,0.56
71.7,0.56
2013,0.56
2717,0.56
558,0.56
1810,0.56
3933,0.56
11.8,0.55
3845,0.55
125,0.55
353,0.55
10.7,0.55
14.8,0.55
101,0.55
52.3,0.55
257,0.55
941,0.55
2005,0.55
105,0.55
90.7,0.54
697,0.54
2340,0.54
3343,0.54
52.2,0.54
12.1,0.54
526,0.54
2071,0.54
21.3,0.54
38.9,0.54
3785,0.54
158,0.54
71.2,0.54
101,0.54
121,0.54
90.1,0.54
11.6,0.53
237,0.53
1854,0.53
41,0.53
605,0.53
2060,0.53
34.6,0.53
30.8,0.53
101,0.53
2215,0.53
35.1,0.52
127,0.52
2845,0.52
65.9,0.52
3271,0.52
24.8,0.52
88.6,0.52
346,0.52
2763,0.52
1056,0.52
73.3,0.52
42.2,0.52
2758,0.52
2906,0.52
1834,0.52
874,0.51
2737,0.51
48.9,0.51
191,0.51
366,0.51
21.3,0.51
1330,0.51
3488,0.51
2073,0.5
1596,0.5
26.6,0.5
1887,0.5
86.4,0.5
108,0.5
216,0.5
46.7,0.5
2421,0.5
2076,0.5
